"nom","groupe_musculaire","muscles_secondaires","type","materiel","niveau","description","conseils","image"
"Dips triceps","Triceps","Pectoraux; Deltoïdes antérieurs","polyarticulaire","Banc / barres","intermédiaire","Dips triceps est un exercice de triceps réalisé avec banc / barres. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/dips-triceps.png"
"Pompes diamant","Triceps","Deltoïdes antérieurs; Abdominaux","polyarticulaire","Poids du corps","intermédiaire","Pompes diamant est un exercice de triceps réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/pompes-diamant-triceps.png"
"Développé couché prise serrée","Triceps","Triceps; Deltoïdes antérieurs","polyarticulaire","Barre","intermédiaire","Développé couché prise serrée est un exercice de triceps réalisé avec barre. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/developpe-couche-prise-serree.png"
"Extension triceps unilatérale","Triceps","Avant-bras","isolation","Poulie / haltère","débutant","Extension triceps unilatérale est un exercice de triceps réalisé avec poulie / haltère. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/extension-triceps-unilaterale.png"
"Tate press","Triceps","Avant-bras","isolation","Haltères","intermédiaire","Tate press est un exercice de triceps réalisé avec haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/tate-press.png"
"Extension triceps au-dessus de la tête poulie","Triceps","Avant-bras","isolation","Poulie","intermédiaire","Extension triceps au-dessus de la tête poulie est un exercice de triceps réalisé avec poulie. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/extension-triceps-au-dessus-de-la-tete-poulie.png"
"Squat arrière","Jambes - quadriceps","Ischio-jambiers; Mollets; Abdominaux","polyarticulaire","Barre","intermédiaire","Squat arrière est un exercice de jambes - quadriceps réalisé avec barre. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/squat-arriere.png"
"Squat avant","Jambes - quadriceps","Ischio-jambiers; Mollets; Abdominaux","polyarticulaire","Barre","avancé","Squat avant est un exercice de jambes - quadriceps réalisé avec barre. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau avancé.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/squat-avant.png"
"Goblet squat","Jambes - quadriceps","Ischio-jambiers; Mollets; Abdominaux","polyarticulaire","Haltère / kettlebell","débutant","Goblet squat est un exercice de jambes - quadriceps réalisé avec haltère / kettlebell. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/goblet-squat.png"
"Hack squat","Jambes - quadriceps","Ischio-jambiers; Mollets; Abdominaux","polyarticulaire","Machine","intermédiaire","Hack squat est un exercice de jambes - quadriceps réalisé avec machine. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/hack-squat.png"
"Presse à cuisses","Jambes - quadriceps","Ischio-jambiers; Mollets; Abdominaux","polyarticulaire","Machine","débutant","Presse à cuisses est un exercice de jambes - quadriceps réalisé avec machine. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/presse-a-cuisses.png"
"Leg extension","Jambes - quadriceps","Fléchisseurs de hanche","isolation","Machine","débutant","Leg extension est un exercice de jambes - quadriceps réalisé avec machine. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/leg-extension.png"
"Fentes avant","Jambes - quadriceps","Ischio-jambiers; Mollets; Abdominaux","polyarticulaire","Poids du corps / haltères","débutant","Fentes avant est un exercice de jambes - quadriceps réalisé avec poids du corps / haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/fentes-avant.png"
"Fentes marchées","Jambes - quadriceps","Ischio-jambiers; Mollets; Abdominaux","polyarticulaire","Poids du corps / haltères","intermédiaire","Fentes marchées est un exercice de jambes - quadriceps réalisé avec poids du corps / haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/fentes-marchees.png"
"Fentes bulgares","Jambes - quadriceps","Ischio-jambiers; Mollets; Abdominaux","polyarticulaire","Haltères","intermédiaire","Fentes bulgares est un exercice de jambes - quadriceps réalisé avec haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/fentes-bulgares.png"
"Step-up","Jambes - quadriceps","Ischio-jambiers; Mollets; Abdominaux","polyarticulaire","Banc / haltères","débutant","Step-up est un exercice de jambes - quadriceps réalisé avec banc / haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/step-up.png"
"Sissy squat","Jambes - quadriceps","Ischio-jambiers; Mollets; Abdominaux","polyarticulaire","Poids du corps","avancé","Sissy squat est un exercice de jambes - quadriceps réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau avancé.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/sissy-squat.png"
"Wall sit / chaise","Jambes - quadriceps","Ischio-jambiers; Mollets; Abdominaux","polyarticulaire","Poids du corps","débutant","Wall sit / chaise est un exercice de jambes - quadriceps réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/wall-sit-chaise.png"
"Squat sauté","Jambes - quadriceps","Ischio-jambiers; Mollets; Abdominaux","polyarticulaire","Poids du corps","intermédiaire","Squat sauté est un exercice de jambes - quadriceps réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/squat-saute.png"
"Pistol squat assisté","Jambes - quadriceps","Ischio-jambiers; Mollets; Abdominaux","polyarticulaire","Poids du corps","avancé","Pistol squat assisté est un exercice de jambes - quadriceps réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau avancé.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/pistol-squat-assiste.png"
"Soulevé de terre roumain","Jambes - ischios / fessiers","Lombaires; Adducteurs; Abdominaux","polyarticulaire","Barre / haltères","intermédiaire","Soulevé de terre roumain est un exercice de jambes - ischios / fessiers réalisé avec barre / haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/souleve-de-terre-roumain-jambes-ischios-fessiers.png"
"Soulevé de terre jambes tendues","Jambes - ischios / fessiers","Lombaires; Adducteurs; Abdominaux","polyarticulaire","Barre / haltères","intermédiaire","Soulevé de terre jambes tendues est un exercice de jambes - ischios / fessiers réalisé avec barre / haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/souleve-de-terre-jambes-tendues.png"
"Hip thrust","Jambes - ischios / fessiers","Ischio-jambiers; Abdominaux","isolation","Barre / machine","intermédiaire","Hip thrust est un exercice de jambes - ischios / fessiers réalisé avec barre / machine. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/hip-thrust.png"
"Glute bridge","Jambes - ischios / fessiers","Ischio-jambiers; Abdominaux","isolation","Poids du corps / barre","débutant","Glute bridge est un exercice de jambes - ischios / fessiers réalisé avec poids du corps / barre. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/glute-bridge.png"
"Leg curl allongé","Jambes - ischios / fessiers","Avant-bras","isolation","Machine","débutant","Leg curl allongé est un exercice de jambes - ischios / fessiers réalisé avec machine. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/leg-curl-allonge.png"
"Leg curl assis","Jambes - ischios / fessiers","Avant-bras","isolation","Machine","débutant","Leg curl assis est un exercice de jambes - ischios / fessiers réalisé avec machine. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/leg-curl-assis.png"
"Leg curl debout","Jambes - ischios / fessiers","Avant-bras","isolation","Machine","débutant","Leg curl debout est un exercice de jambes - ischios / fessiers réalisé avec machine. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/leg-curl-debout.png"
"Good morning","Jambes - ischios / fessiers","Lombaires; Adducteurs; Abdominaux","polyarticulaire","Barre","avancé","Good morning est un exercice de jambes - ischios / fessiers réalisé avec barre. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau avancé.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/good-morning.png"
"Pull-through","Jambes - ischios / fessiers","Ischio-jambiers; Abdominaux","isolation","Poulie","intermédiaire","Pull-through est un exercice de jambes - ischios / fessiers réalisé avec poulie. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/pull-through.png"
"Kettlebell swing","Jambes - ischios / fessiers","Lombaires; Abdominaux; Épaules","polyarticulaire","Kettlebell","intermédiaire","Kettlebell swing est un exercice de jambes - ischios / fessiers réalisé avec kettlebell. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/kettlebell-swing-jambes-ischios-fessiers.png"
"Fentes arrière","Jambes - ischios / fessiers","Ischio-jambiers; Mollets; Abdominaux","polyarticulaire","Poids du corps / haltères","débutant","Fentes arrière est un exercice de jambes - ischios / fessiers réalisé avec poids du corps / haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/fentes-arriere.png"
"Abduction hanche machine","Jambes - ischios / fessiers","Ischio-jambiers; Abdominaux","isolation","Machine","débutant","Abduction hanche machine est un exercice de jambes - ischios / fessiers réalisé avec machine. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/abduction-hanche-machine.png"
"Kickback fessier poulie","Jambes - ischios / fessiers","Avant-bras","isolation","Poulie","débutant","Kickback fessier poulie est un exercice de jambes - ischios / fessiers réalisé avec poulie. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/kickback-fessier-poulie.png"
"Donkey kicks","Jambes - ischios / fessiers","Ischio-jambiers; Abdominaux","isolation","Poids du corps","débutant","Donkey kicks est un exercice de jambes - ischios / fessiers réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/donkey-kicks.png"
"Fire hydrants","Jambes - ischios / fessiers","Ischio-jambiers; Abdominaux","isolation","Poids du corps","débutant","Fire hydrants est un exercice de jambes - ischios / fessiers réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/fire-hydrants.png"
"Nordic curl","Jambes - ischios / fessiers","Avant-bras","isolation","Poids du corps","avancé","Nordic curl est un exercice de jambes - ischios / fessiers réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau avancé.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/nordic-curl.png"
"Mollets debout","Mollets","Soléaire; Tibial postérieur","isolation","Machine / haltères","débutant","Mollets debout est un exercice de mollets réalisé avec machine / haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/mollets-debout.png"
"Mollets assis","Mollets","Soléaire; Tibial postérieur","isolation","Machine","débutant","Mollets assis est un exercice de mollets réalisé avec machine. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/mollets-assis.png"
"Mollets à la presse","Mollets","Soléaire; Tibial postérieur","isolation","Machine","débutant","Mollets à la presse est un exercice de mollets réalisé avec machine. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/mollets-a-la-presse.png"
"Mollets unilatéral","Mollets","Soléaire; Tibial postérieur","isolation","Poids du corps / haltère","débutant","Mollets unilatéral est un exercice de mollets réalisé avec poids du corps / haltère. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/mollets-unilateral.png"
"Farmer walk sur pointes","Mollets","Soléaire; Tibial postérieur","isolation","Haltères","intermédiaire","Farmer walk sur pointes est un exercice de mollets réalisé avec haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/farmer-walk-sur-pointes.png"
"Sauts à la corde","Mollets","Soléaire","isolation","Corde","débutant","Sauts à la corde est un exercice de mollets réalisé avec corde. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/sauts-a-la-corde.png"
"Donkey calf raise","Mollets","Soléaire; Tibial postérieur","isolation","Machine / partenaire","intermédiaire","Donkey calf raise est un exercice de mollets réalisé avec machine / partenaire. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/donkey-calf-raise.png"
"Crunch","Abdos / gainage","Fléchisseurs de hanche; Obliques","isolation","Poids du corps","débutant","Crunch est un exercice de abdos / gainage réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/crunch.png"
"Crunch poulie haute","Abdos / gainage","Fléchisseurs de hanche; Obliques","isolation","Poulie","intermédiaire","Crunch poulie haute est un exercice de abdos / gainage réalisé avec poulie. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/crunch-poulie-haute.png"
"Relevé de jambes au sol","Abdos / gainage","Fléchisseurs de hanche; Obliques","isolation","Poids du corps","débutant","Relevé de jambes au sol est un exercice de abdos / gainage réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/releve-de-jambes-au-sol.png"
"Relevé de jambes suspendu","Abdos / gainage","Fléchisseurs de hanche; Obliques","isolation","Barre","intermédiaire","Relevé de jambes suspendu est un exercice de abdos / gainage réalisé avec barre. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/releve-de-jambes-suspendu.png"
"Relevé de genoux suspendu","Abdos / gainage","Fléchisseurs de hanche; Obliques","isolation","Barre","débutant","Relevé de genoux suspendu est un exercice de abdos / gainage réalisé avec barre. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/releve-de-genoux-suspendu.png"
"Reverse crunch","Abdos / gainage","Fléchisseurs de hanche; Obliques","isolation","Poids du corps","débutant","Reverse crunch est un exercice de abdos / gainage réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/reverse-crunch.png"
"Sit-up","Abdos / gainage","Fléchisseurs de hanche; Obliques","isolation","Poids du corps","débutant","Sit-up est un exercice de abdos / gainage réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/sit-up.png"
"Planche","Abdos / gainage","Fessiers; Lombaires; Épaules","polyarticulaire","Poids du corps","débutant","Planche est un exercice de abdos / gainage réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/planche.png"
"Planche latérale","Abdos / gainage","Fessiers; Lombaires; Épaules","polyarticulaire","Poids du corps","débutant","Planche latérale est un exercice de abdos / gainage réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/planche-laterale.png"
"Dead bug","Abdos / gainage","Fessiers; Lombaires; Épaules","polyarticulaire","Poids du corps","débutant","Dead bug est un exercice de abdos / gainage réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/dead-bug.png"
"Hollow hold","Abdos / gainage","Fessiers; Lombaires; Épaules","polyarticulaire","Poids du corps","intermédiaire","Hollow hold est un exercice de abdos / gainage réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/hollow-hold.png"
"Mountain climbers","Abdos / gainage","Transverse; Fléchisseurs de hanche","polyarticulaire","Poids du corps","débutant","Mountain climbers est un exercice de abdos / gainage réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/mountain-climbers-abdos-gainage.png"
"Russian twist","Abdos / gainage","Transverse; Fléchisseurs de hanche","polyarticulaire","Poids du corps / disque","débutant","Russian twist est un exercice de abdos / gainage réalisé avec poids du corps / disque. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/russian-twist.png"
"Woodchopper","Abdos / gainage","Transverse; Fléchisseurs de hanche","polyarticulaire","Poulie / élastique","intermédiaire","Woodchopper est un exercice de abdos / gainage réalisé avec poulie / élastique. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/woodchopper.png"
"Pallof press","Abdos / gainage","Fessiers; Lombaires; Épaules","polyarticulaire","Poulie / élastique","débutant","Pallof press est un exercice de abdos / gainage réalisé avec poulie / élastique. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/pallof-press.png"
"Ab wheel rollout","Abdos / gainage","Fessiers; Lombaires; Épaules","polyarticulaire","Roue abdominale","intermédiaire","Ab wheel rollout est un exercice de abdos / gainage réalisé avec roue abdominale. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/ab-wheel-rollout.png"
"Gainage Superman","Abdos / gainage","Fessiers; Ischio-jambiers","isolation","Poids du corps","débutant","Gainage Superman est un exercice de abdos / gainage réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/gainage-superman.png"
"Curl poignets","Avant-bras / grip","Avant-bras","isolation","Barre / haltères","débutant","Curl poignets est un exercice de avant-bras / grip réalisé avec barre / haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/curl-poignets.png"
"Curl poignets inversé","Avant-bras / grip","Avant-bras","isolation","Barre / haltères","débutant","Curl poignets inversé est un exercice de avant-bras / grip réalisé avec barre / haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/curl-poignets-inverse.png"
"Farmer walk","Avant-bras / grip","Biceps; Trapèzes","isolation","Haltères / kettlebells","intermédiaire","Farmer walk est un exercice de avant-bras / grip réalisé avec haltères / kettlebells. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/farmer-walk-avant-bras-grip.png"
"Dead hang","Avant-bras / grip","Biceps; Trapèzes","isolation","Barre de traction","débutant","Dead hang est un exercice de avant-bras / grip réalisé avec barre de traction. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/dead-hang.png"
"Plate pinch","Avant-bras / grip","Biceps; Trapèzes","isolation","Disques","intermédiaire","Plate pinch est un exercice de avant-bras / grip réalisé avec disques. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/plate-pinch.png"
"Curl inversé","Avant-bras / grip","Avant-bras","isolation","Barre / haltères","intermédiaire","Curl inversé est un exercice de avant-bras / grip réalisé avec barre / haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/curl-inverse-avant-bras-grip.png"
"Wrist roller","Avant-bras / grip","Biceps; Trapèzes","isolation","Rouleau poignet","intermédiaire","Wrist roller est un exercice de avant-bras / grip réalisé avec rouleau poignet. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/wrist-roller.png"
"Burpees","Full body / fonctionnel","Abdominaux; Fessiers; Dos","polyarticulaire","Poids du corps","intermédiaire","Burpees est un exercice de full body / fonctionnel réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/burpees-full-body-fonctionnel.png"
